name,area,category,entry_fee_usd,estimated_time,rating,description
Gayer-Anderson Museum (Bayt al-Kiritliya),Islamic Cairo,Museum,5-8,1-1.5 hours,4.5,"17th-century home; James Bond filming location"
Prince Mohamed Ali Palace (Manial Palace),Manial Island,Palace/Museum,5-10,1-2 hours,4.4,"Early 20th-century prince's palace with museums"
Museum of Islamic Art,Islamic Cairo,Museum,10-15,1.5-2.5 hours,4.7,"World's finest collection of Islamic art"
Dahshur Pyramids,Dahshur,Ancient/Pharaonic,10-15,1.5-2.5 hours,4.4,"Bent Pyramid and Red Pyramid; fewer crowds"
Memphis Open Air Museum,Memphis,Museum,8-12,1-1.5 hours,4.3,"Colossus of Ramesses II and Alabaster Sphinx"
Gawhara Palace,Islamic Cairo,Palace,5-8,30-60 min,4.2,Mohamed Ali's palace within Citadel
Baron Empain Palace,Heliopolis,Palace,5-8,30-60 min,4.3,"Unique Hindu-style palace; recent restoration"
Ramses Wissa Wassef Art Center,Harrania (Giza),Art Center,2,1-2 hours,4.5,"Tapestry weaving center created by Wassef in 1951"
Talaat Harb Square,Downtown,Square/Landmark,Free,15-30 min,4.0,Cairo's historic downtown square
Abdeen Palace,Downtown,Palace/Museum,8-12,1-2 hours,4.3,"Presidential palace; museum and gardens"
Al-Darb Al-Ahmar,Islamic Cairo,Historical Street,Free,1-2 hours,4.5,Forgotten medieval street with artisan workshops
El-Fishawy Coffee House,Khan el-Khalili,Cafe/Landmark,Varies,30-60 min,4.4,"Open continuously since 1773; Naguib Mahfouz wrote here"
Wekalet el-Ghouri,Islamic Cairo,Cultural Venue,5-10,1-2 hours,4.4,"16th-century building; Tanoura dance shows nightly"
Khayamiya Street (Tentmakers),Islamic Cairo,Market/Street,Free,30-60 min,4.4,Street of the Tentmakers behind Bab Zuweila
Prince Taz Palace,Islamic Cairo,Palace,3-5,30-60 min,4.2,Historic Mamluk palace
Mosque and Mausoleum of Imam Al Shafi'i,Islamic Cairo,Mosque,Free,20-30 min,4.3,Imam Al Shafii mosque and mausoleum
Amr Ibn Al-As Mosque,Fustat,Mosque,Free,20-30 min,4.3,First mosque built in Africa (642 AD)
Ben Ezra Synagogue,Coptic Cairo,Synagogue,Free,20-30 min,4.3,"3rd century BC origins; multi-faith history"
The Andalus Park,Zamalek,Park,3-5,30-60 min,4.2,Andalusian-style park on Zamalek
Museum of Egyptian Modern Arts,Zamalek,Museum,5-10,1-2 hours,4.2,Modern Egyptian art at Cairo Opera House
Darb 17 18,Islamic Cairo,Art Space,Free,30-60 min,4.3,Contemporary art space in historic building
Mohamed Mahmoud Khalil Museum,Dokki,Museum,5-10,1-2 hours,4.3,European art collection including Van Gogh
Aisha Fahmy Palace,Zamalek,Palace/Museum,5-8,30-60 min,4.2,"Beautifully restored palace; art exhibitions now"
Gezira Sporting Club,Zamalek,Sports Club,Varies,1-3 hours,4.2,"1882-founded; golf pool stables colonial atmosphere"
Mamsha Masr (Nile Walkway),Various,Promenade,Free,30 min-2 hours,4.4,New walkway along Nile with art installations
Cairo Jazz Club,Agouza,Nightlife,Varies,2-4 hours,4.3,Iconic live music and nightlife venue
Mall of Egypt,6th October,Shopping Mall,Free,2-4 hours,4.5,"Major mall with indoor ski resort Ski Egypt"
Citystars Mall,Nasr City,Shopping Mall,Free,2-4 hours,4.5,"Largest mall in Cairo; 600+ shops"
Mall of Arabia,6th October,Shopping Mall,Free,2-4 hours,4.4,"Major mall with KidZania and ice skating"
Cairo Festival City Mall,New Cairo,Shopping Mall,Free,2-4 hours,4.5,"Open-air mall with luxury brands and VOX Cinemas"
Simonds Coffee,Downtown,Cafe/Landmark,Varies,30-60 min,4.3,"Oldest coffeehouse in Egypt since 1898"
30 NORTH ICONIA,Zamalek,Cafe,Varies,30-60 min,4.2,Popular Zamalek cafe
Café Greco,Downtown,Cafe,Varies,30-60 min,4.1,Classic downtown cafe
Room Art Space & Cafe,Garden City,Cafe,Varies,30-60 min,4.2,Art space and cafe in Garden City
