name,area,location,star_rating,price_range_per_night_usd,budget_category,description
Beirut Hotel Cairo,Heliopolis,Heliopolis,3,30-55,Budget,Budget hotel in Heliopolis area
Egypt Pyramids Inn,Giza,1 Abou Al Hool Al Seiahi,3,24-40,Budget,Budget inn near pyramids
Best View Pyramids Hotel,Giza,13 Gamal Abd Nasser Street,3,19-35,Budget,Affordable pyramid-view hotel
Grand City Hotel,Downtown,Bostan Ibn Al Quraish El Tahrir Square,3,17-35,Budget,Budget near Tahrir Square
Paradise Boutique Hotel,Downtown,18B 26th of July Street,3,20-50,Budget,Boutique budget hotel downtown
Tahrir Plaza Suites Museum View,Downtown,19 Meret Basha St,3,20-50,Budget,Budget suites near Egyptian Museum
New Palace Hotel,Downtown,17 Soliman El Halaby St,3,19-35,Budget,Budget downtown near attractions
New President Hotel Cairo,Zamalek,20 Taha Hussein Street,2,40-70,Mid-range,Well-reviewed mid-range in Zamalek
Arabia Hotel,Roda Island,Roda Nile Island,2,25-45,Budget,Budget on Roda Island
Wake Up Cairo Hostel,Downtown,33 A Ramsis St Marouf Tower,2,11-20,Budget,Popular backpacker hostel downtown
Travelers House Hotel,Downtown,43 Sherief Street 4th Floor,2,11-20,Budget,Budget guesthouse downtown
Heritage Hostel,Downtown,13 Meret Basha,2,13-25,Budget,Hostel near Egyptian Museum
Dahab Hostel,Downtown,26 Mahmoud Bassiouny,2,13-25,Budget,Popular backpacker option
Cecilia Hostel,Downtown,47 El-Falaky Street,2,19-30,Budget,Budget hostel downtown
Al Masah Hotel And Spa,Nasr City,Nasr City,5,70-120,Upscale,Spa hotel in Nasr City green area
Amarante Pyramids Hotel,Giza,Giza,4,50-80,Mid-range,Historic building near pyramids
Amoun Hotel,Mohandiseen,Gameat Al Dewal Street,3,35-60,Budget,Simple furnished rooms in Mohandiseen
Barcelo Cairo Pyramids,Giza,Giza Pyramids Area,4,60-100,Mid-range,Trendy hotel near pyramids
Berlin Hotel,Downtown,Downtown Cairo,2,20-35,Budget,Budget downtown with balconies
Cairo Center Hostel,Downtown,Downtown,2,10-20,Budget,Hostel near Nasser Metro
Cairo City Center Hostel,Downtown,Downtown,2,12-25,Budget,Hostel with Nile views
Cairo Khan Hotel,Downtown,Downtown,3,30-55,Budget,Hotel with health club downtown
Carlton Hotel,Downtown,Downtown,3,35-60,Budget,Classic hotel central location
City View Hotel,Downtown,Overlooking Egypt Museum,3,25-45,Budget,Near Egyptian Museum and metro
Conrad Cairo Hotel & Casino,Downtown,Downtown,5,100-200,Upscale,Luxury with Nile views and casino
El Tonsy Hotel,Downtown,Downtown,3,25-40,Budget,2 minutes from Nile
Golden Hotel Cairo,Downtown,Downtown,2,20-35,Budget,Budget near Egyptian Museum
Guardian Guest House,Giza,1 Abou al hool street,3,30-50,Budget,5 min walk to pyramids
Happy City Hotel,Downtown,Downtown,3,25-45,Budget,Near Egyptian Museum and metro
Havana Hotel Cairo,Mohandiseen,Mohandiseen,3,35-60,Budget,Mid-range in Mohandiseen
Helio Cairo Hotel,Heliopolis,Heliopolis,3,30-55,Budget,Near Cairo airport
Heliopark Hotel,Heliopolis,Heliopolis,3,30-50,Budget,15 min from airport
Hola Cairo Hostel,Downtown,Downtown,2,10-20,Budget,Hostel near Nasser Metro
Hor Moheb Hotel,Giza,Giza,3,30-50,Budget,Near pyramids
Horus House Hotel Zamalek,Zamalek,Zamalek,3,40-65,Mid-range,Near Mit Okba Stadium
Indiana Hotel,Giza,Giza,3,35-55,Budget,Near Nile promenade
Invitation Hotel,Downtown,Downtown,2,15-25,Budget,Walking distance to Nile
Isis Hostel,Downtown,Downtown,2,10-20,Budget,Nile views from rooftop
Isis Hostel 2,Downtown,Downtown,2,10-20,Budget,Near Egyptian Museum
King Hotel Cairo,Downtown,Downtown,3,30-50,Budget,Central location
King Tut Hostel,Downtown,Downtown,2,12-22,Budget,Near Nasser Metro
Le Meridien Heliopolis,Heliopolis,Heliopolis,5,80-140,Upscale,Residential Heliopolis hotel
Le Meridien Pyramids Hotel & Spa,Giza,El Remaya Square 25 Pyramids,5,80-160,Upscale,Direct pyramid views with Egyptian-inspired design
Le Riad Hotel de Charme,Islamic Cairo,Islamic Cairo,4,70-120,Mid-range,Theme rooms in historic Cairo
Lotus Hotel,Downtown,Sabry Abu Alam Street,2,40-65,Mid-range,Vintage art deco downtown
Maadi Hotel,Maadi,Maadi,3,50-80,Mid-range,Rooftop pool with Nile views
Mandarin Hotel,Downtown,Downtown,2,15-25,Budget,Simple accommodation
May Fair Hotel,Zamalek,Zamalek,3,40-65,Mid-range,In exclusive Zamalek area
Mayorca Hotel Cairo,Downtown,Downtown,3,35-55,Budget,Near Sadat Metro
Marriott Mena House Cairo,Giza,6 Pyramids Road Giza,5,300-500,Luxury,Historic palace hotel with direct pyramid views
Mercure Cairo Le Sphinx,Giza,Giza,4,50-80,Mid-range,Foot of pyramids in palm garden
Mesho Inn,Downtown,Downtown,2,12-22,Budget,Downtown near Cairo Museum
Miami Cairo Hostel,Downtown,Downtown,2,12-22,Budget,Free airport shuttle
Monte Cairo Suites,Mokattam,Mokattam Hills,3,40-70,Mid-range,Apartment complex with pool
New Garden Palace Hotel,Garden City,Garden City,3,35-60,Budget,Leafy district near Tahrir
Nile Season Hotel,Downtown,Downtown,3,30-50,Budget,10 min from Egyptian Museum
Nile Zamalek Hotel,Zamalek,Zamalek,3,45-70,Mid-range,Rooftop bar Nile views
Oasis Hotel Heliopolis,Heliopolis,Heliopolis,3,35-55,Budget,Central Heliopolis location
Odeon Palace Hotel,Downtown,Downtown,3,35-55,Budget,550 yards from Nile
Osiris Hostel Cairo,Downtown,Downtown,2,12-22,Budget,Rooftop terrace near museum
Pharaoh Egypt Hotel,Dokki,Dokki,3,35-60,Budget,Rooftop pool pyramid views
Pharaohs Hotel,Dokki,Dokki,3,30-50,Budget,330 ft from Nile banks
Pharaohs Palace Hostel,Downtown,Downtown,2,12-22,Budget,550 yards from museum
President Hotel,Zamalek,Zamalek,3,45-70,Mid-range,Nile views in Zamalek
Pyramids Inn Motel,Giza,Giza Pyramids Area,3,20-40,Budget,Budget inn near pyramids
Pyramids Park Resort Cairo,Giza,Giza Pyramids Area,4,50-80,Mid-range,25 acres of grounds near pyramids
Pyramids View Inn,Giza,Giza Plateau,2,20-40,Budget,Rooftop terrace pyramid views
Radisson Residences Cairo Heliopolis,Heliopolis,Heliopolis,4,60-100,Mid-range,Extended stay in Heliopolis
Ramses II Hotel,Downtown,Talaat Harb District,2,20-35,Budget,Simple downtown accommodation
Residence Hotel Suites & Apartments,Maadi,Maadi,3,45-75,Mid-range,Suites with kitchens in Maadi
River Nile Hotel,Downtown,Corniche El Nile,3,35-55,Budget,Panoramic Nile views
Rose Hotel Cairo,Downtown,Downtown,2,20-35,Budget,Downtown budget option
Santana Hotel Cairo,Downtown,Downtown,2,20-35,Budget,Simple downtown hotel
Select Hotel,Downtown,Downtown,2,15-25,Budget,Budget central option
Shepheard Hotel Cairo,Downtown,Downtown,4,60-100,Mid-range,Historic name in downtown
Sphinx Guest House,Giza,Giza,2,15-25,Budget,Near Sphinx
Swiss Inn Nile Hotel,Dokki,Dokki,4,50-80,Mid-range,Nile-side hotel in Dokki
Talisman Hotel,Downtown,Downtown,3,40-65,Mid-range,Boutique in downtown
The President Hotel Cairo,Zamalek,22 Taha Hussein Street,3,45-70,Mid-range,Zamalek budget-friendly
Tourist Hotel Cairo,Downtown,Downtown,2,30-50,Budget,Guesthouse near downtown
Town View Hotel,Downtown,162 Al Tahrir Street,2,15-35,Budget,Ultra-budget near Tahrir
Valencia Hotel,Downtown,Downtown,3,35-60,Budget,Downtown central
Victoria Cairo Hotel,Downtown,Downtown,3,35-60,Budget,Near downtown attractions
Voyage Hotel,Downtown,Downtown,2,20-35,Budget,Simple downtown hotel
Windsor Hotel Cairo,Downtown,Downtown,3,35-60,Budget,Classic downtown hotel
Golden Inn Hotel,Downtown,Downtown,3,25-45,Budget,Budget central option
Grand Palace Hotel,Downtown,Downtown,3,35-55,Budget,Downtown budget option
Grand Nile Tower,Roda Island,Roda Island,5,100-200,Upscale,Former Grand Hyatt on Roda Island
Grand Pyramids Hotel,Giza,Giza,4,50-80,Mid-range,Near pyramids with pool
Gresham Hotel,Downtown,Downtown,2,15-25,Budget,Renovated hostel downtown
Happy days Pyramids Inn,Giza,Giza Pyramids Area,2,15-25,Budget,Budget near pyramids
Happyton Hotel,Downtown,Downtown,2,20-35,Budget,Simple downtown hotel
Heliopolis Rock Residence,Heliopolis,Heliopolis,3,35-55,Budget,Heliopolis residence
Holidays Express Hotel,Mohandiseen,Mohandiseen,3,35-55,Budget,Mohandiseen express hotel
Horizon Pyramids Hotel,Giza,Giza,3,35-60,Budget,Outdoor pool near pyramids
Horizon Shahrazad,Downtown,Downtown,3,30-50,Budget,Downtown hotel
Hostel Luna,Downtown,Downtown,2,10-20,Budget,Hostel half mile from museum
Hotel Bella Luna,Downtown,Downtown,2,10-20,Budget,Budget downtown option
Hotel Concorde Dokki,Dokki,Dokki,3,35-55,Budget,Central Dokki location
Hotel Grand Royal Cairo,Downtown,Downtown,2,15-25,Budget,White decor downtown
Hotel Richmond Down Town,Downtown,Downtown,2,15-25,Budget,Downtown budget
Hotel Royal,Downtown,Downtown,2,15-25,Budget,Simple downtown
Hotel Royal City Center,Downtown,Downtown,2,20-35,Budget,City center location
Jewel Glorious Hotel,Heliopolis,Heliopolis,4,50-80,Mid-range,Heliopolis jewel brand
Kanzy Hotel,Downtown,Downtown,2,20-35,Budget,Downtown option
King Khafren View Inn,Giza,Giza Pyramids Area,2,15-25,Budget,View inn near pyramids
Kings Palace,Downtown,Downtown,3,30-50,Budget,Downtown palace hotel
Longchamps Boutique Hotel,Zamalek,Zamalek,3,45-75,Mid-range,Boutique with breakfast
Luxurious Arabesque 3br Apt,Downtown,Downtown,3,40-70,Mid-range,Arabesque apartment downtown
Lyly Hotel,Downtown,Downtown,2,20-35,Budget,Simple downtown
Mamlouk Pyramids Hotel,Giza,Giza,3,30-50,Budget,Budget near pyramids
Marvel Stone Hotel,Downtown,Downtown,3,30-55,Budget,Downtown budget
Milano Hotel,Downtown,Downtown,2,20-35,Budget,Downtown budget
Minerva Grand Boutique,Downtown,Downtown,3,35-60,Budget,Boutique downtown
Museum Plaza,Downtown,2 Champollion Road,2,20-35,Budget,Near museum
My Cairo Hotel,Downtown,Downtown,2,15-25,Budget,Simple option
My Hotel,Downtown,Downtown,2,10-20,Budget,Hostel 2 min from museum
New Marina Hostel,Downtown,Downtown,2,10-20,Budget,Hostel downtown
Newcity Hotel & Suites,Nasr City,Nasr City,3,35-55,Budget,Nasr City suites
Nile Meridien Hotel,Downtown,Downtown,3,35-55,Budget,Nile-side budget
Nile Supreme,Downtown,Downtown,3,35-55,Budget,Nile area budget
Nitocrisse Hotel,Giza,Giza,3,30-50,Budget,Giza area hotel
Nour Elsabah Hotel,Downtown,Downtown,2,20-35,Budget,Downtown budget
Novotel Cairo 6th of October,6th October,6th October City,4,50-80,Mid-range,October city hotel
Odeon Palace Hotel,Downtown,Downtown,3,35-55,Budget,Rooftop terrace downtown
One Season Cairo,Downtown,Downtown,2,12-22,Budget,Near museum
Panorama Ramsis Hotel & Cafe,Downtown,10 Saif El Dine El Mahrany Ramsis Square,2,20-40,Budget,Near Ramses Station
Panorama View Pyramids,Giza,Giza,2,15-25,Budget,Panorama pyramid view
Paradise Home City Stars,Nasr City,City Stars,3,35-55,Budget,Near City Stars mall
Paris Hotel,Downtown,Downtown,2,15-25,Budget,Heart of downtown
Pearl Hotel Maadi,Maadi,Maadi,3,45-70,Mid-range,Tree-lined Maadi district
Pension Roma,Downtown,Downtown,2,15-25,Budget,Budget pension
Prime Residence New Cairo,New Cairo,New Cairo,3,40-70,Mid-range,New Cairo residence
Pyramids Charm Hotel,Giza,Giza,3,30-50,Budget,Budget charm near pyramids
Pyramids Valley,Giza,Giza,2,15-25,Budget,Valley view near pyramids
Regency Pyramids,Giza,Giza Pyramids Area,3,30-50,Budget,Regency near pyramids
Royal Maadi Hotel,Maadi,Maadi,3,45-70,Mid-range,Maadi hotel
Royal Marshal Hotel,Downtown,Downtown,3,30-55,Budget,Downtown with indoor pool
Safary Hotel,Downtown,Downtown,3,35-55,Budget,Downtown safari themed
Salma Hotel,Downtown,Downtown,2,20-35,Budget,Simple downtown
Sara Inn Hostel,Downtown,Downtown,2,10-20,Budget,Hostel downtown
St George Hotel Cairo,Downtown,Downtown,3,35-55,Budget,Downtown central
Star Plaza Hotel,Downtown,Downtown,3,35-55,Budget,Star plaza downtown
Sufi Nights Hostel,Downtown,Downtown,2,12-22,Budget,Hostel downtown
Sun City Hotel The Gabriel,New Cairo,New Cairo,5,90-150,Upscale,Modern hotel in New Cairo
Sun Hostel Cairo,Downtown,Downtown,2,10-20,Budget,Hostel downtown
Tahrir Square Hostel,Downtown,Tahrir Square,2,10-20,Budget,Hostel at Tahrir
The Australian Hostel,Downtown,23 Abd El Khaleq Sarwat,2,10-20,Budget,Hostel downtown
The Loft,Downtown,Downtown,2,15-25,Budget,Downtown loft
The New Garden Palace Hotel,Garden City,Garden City,3,35-60,Budget,Garden City near Tahrir
The Square Boutique Hotel,Downtown,Talaat Harb Square,3,50-85,Mid-range,Boutique at Talaat Harb
Tolip El Narges Hotel & Spa,New Cairo,New Cairo,5,80-130,Upscale,Hotel and spa in New Cairo
Tolip Gardens Hotel,New Cairo,New Cairo,5,70-120,Mid-range,Garden hotel in New Cairo
Tolip Inn Maadi,Maadi,Maadi,3,40-65,Mid-range,Tolip brand in Maadi
Toman Pyramids hotel,Giza,Giza Pyramids Area,3,25-45,Budget,Budget pyramid hotel
Travel Joy Hostel,Downtown,Downtown,2,10-20,Budget,Hostel downtown
Travelholic Hostel,Downtown,Downtown,2,10-20,Budget,Hostel downtown
Turquoise Pyramids View,Giza,Giza Pyramids Area,3,25-45,Budget,Turquoise pyramid view
Tuya Pyramids Inn,Giza,Giza Pyramids Area,2,15-25,Budget,Inn near pyramids
Up Town Hotel,Heliopolis,Heliopolis,3,29-50,Budget,Heliopolis budget option
Venice Hosokawaya,Downtown,Downtown,2,15-25,Budget,Downtown budget
Windsorcolour Holidays,Downtown,Downtown,2,15-25,Budget,Downtown budget
African House Hostel,Downtown,Downtown,2,10-20,Budget,Hostel near Ramses Station
Al Nabila Hotel,Heliopolis,Heliopolis,3,35-55,Budget,Heliopolis budget
Arabella Residence,New Cairo,New Cairo,3,40-70,Mid-range,New Cairo residence
Arabesque Hotel,Downtown,Downtown,2,15-25,Budget,Downtown budget
Arabian Nights Hotel,Islamic Cairo,Islamic Cairo,3,20-35,Budget,Near Khan al-Khalili
Azar Boutique Hotel,Downtown,Downtown,3,35-60,Budget,Boutique downtown
Cairo Heart Hotel,Downtown,Downtown,3,30-55,Budget,Downtown central
Cairo Hotel,Heliopolis,Heliopolis,3,30-55,Budget,Heliopolis hotel
Cairo International Hostel,Downtown,Downtown,2,10-20,Budget,International hostel downtown
Cairo Moon Hostel,Downtown,Downtown,2,10-20,Budget,Hostel with balcony rooms
Cairo Panorama Hotel,Downtown,Downtown,3,30-50,Budget,Downtown panorama
Cairo Paradise Hostel,Downtown,Downtown,2,10-20,Budget,Hostel heart of Cairo
Cairo Pyramids Hotel,Giza,Giza,3,25-45,Budget,Pyramid area hotel
Capital Hotel,Downtown,3 Talaat Harb Street,3,40-70,Mid-range,Simple mid-range in central downtown
Capsis Palace,Downtown,Downtown,2,15-25,Budget,Downtown budget
Cataract Pyramids Resort,Giza,Giza Pyramids Area,4,50-80,Mid-range,Views of pyramids with pool
City Hotel,Downtown,Downtown,2,15-25,Budget,Simple downtown hotel
City Palace Hotel,Downtown,Downtown,3,35-60,Budget,Downtown palace
Crowne Plaza West Cairo Arkan,6th October,6th October City,5,80-140,Upscale,West Cairo business hotel
Dahab Hostel Cairo,Downtown,26 Mahmoud Bassiouny,2,13-25,Budget,Popular budget hostel
Down Town Hotel Cairo,Downtown,Downtown,2,15-25,Budget,Downtown Cairo
Downtown Inn,Downtown,Downtown,2,12-22,Budget,Downtown inn
Egyptian Night Hostel,Downtown,Downtown,2,10-20,Budget,Hostel 5 min from museum
Family Palace Hostel,Downtown,Downtown,2,10-20,Budget,Hostel central Cairo
Freedom Hostel,Downtown,Downtown,2,10-20,Budget,Hostel near Talat Harb
Garden View Hostel,Downtown,Downtown,2,12-22,Budget,Near Ramses Station
Gewan Hotel Cairo,Nasr City,Omar Ibn El Khattab Street Nasr City,5,70-120,Upscale,Nasr City full-service hotel
Golden Hotel Downtown Tahrir,Downtown,Tahrir Square,2,20-35,Budget,Tahrir budget option
Golden Palace Hotel,Downtown,Downtown,2,15-25,Budget,Downtown budget
Grand Agor Hotel,Downtown,Downtown,3,30-55,Budget,Downtown option
Great Alexander Hostel,Downtown,Downtown,2,10-20,Budget,Hostel downtown
Happy City Hotel Downtown,Downtown,Downtown,3,25-45,Budget,Near museum and metro
Hilton Cairo World Trade Centre Residence,Garden City,Nile Corniche,4,80-130,Upscale,Residence at WTC
Hostel Vienna,Downtown,Downtown,2,10-20,Budget,Hostel 5 min from museum
Hotel Royal City Center Cairo,Downtown,Downtown,2,15-25,Budget,City center option
Ismailia House Inn,Downtown,Ismailia,2,15-25,Budget,Downtown inn
Jamaica Hostel,Downtown,Downtown,2,10-20,Budget,Hostel 10 min from museum
Le Riad Tell a Story Boutique Hotel,Islamic Cairo,El Darb El Asfar,4,60-100,Mid-range,Theme boutique near Bab Zuweila
Lady Daiana Nile Cruise Hotel,Maadi,Maadi (Nile Cruise),3,40-70,Mid-range,Cruise hotel on Nile
Landmark Hotel New Cairo,New Cairo,New Cairo,4,55-90,Mid-range,New Cairo landmark
Luna & Bella Luna Hostel,Downtown,Downtown,2,10-20,Budget,Hostel near museum
Maadi Int. Center & Apartment,Maadi,Maadi,3,40-70,Mid-range,Self-catering in Maadi
Moevenpick Hotel Cairo Pyramids,Giza,Giza Pyramids Area,4,60-100,Mid-range,Garden setting pyramid views
Mohandeseen Small Apartment,Mohandiseen,Mohandiseen,2,20-35,Budget,Budget small apartment
New Abdeen Palace Hostel,Downtown,Downtown,2,10-20,Budget,Hostel near Abdeen
New City Hotel,Downtown,5 Talaat Harb,2,19-30,Budget,Ultra-budget near Tahrir
New President Hotel Zamalek,Zamalek,Zamalek,3,45-70,Mid-range,Nile-side in Zamalek
NewCity Suites & Apartments,New Cairo,New Cairo,3,35-60,Budget,New Cairo suites
Nile Boutique Hotel,Downtown,Downtown,3,35-60,Budget,Nile area boutique
Panorama Ramsis Hotel & Cafe,Downtown,Ramsis Square,2,20-40,Budget,Near train station
Ramses Palace Hostel,Downtown,Downtown,2,10-20,Budget,Hostel Ramses area
Royal Crown Hotel Giza Pyramids View,Giza,Giza Pyramids Area,3,25-45,Budget,Pyramid view budget
Sama Hotel Sherif Basha,Downtown,Sherif Basha Street,3,25-45,Budget,Downtown budget
Sphinx Comfort,Giza,Giza,3,25-45,Budget,Near Sphinx
Spire West Hotel,Giza,Giza District,3,30-55,Budget,Giza district hotel
Sultan Pyramids Boutique Hotel View,Giza,Giza,3,30-55,Budget,Pyramid boutique
Triple garden view hotel,Downtown,Downtown,3,30-50,Budget,Near Tahrir Square
Turquoise Pyramids palace,Giza,Giza,3,25-45,Budget,Giza pyramid palace
Viaje Hotel Downtown Cairo,Downtown,Mohammed Farid Street,3,60-100,Mid-range,Stylish boutique downtown hotel
White Swan Hotel Cairo,Downtown,Downtown,3,35-60,Budget,Downtown central
Garden City Plaza Hotel,Garden City,Garden City,3,24-50,Budget,Budget-friendly in upscale Garden City
Regency Inn,Downtown,Talaat Harb Street,3,25-55,Budget,Value stay in central downtown
Royal Inn Residence New Cairo,New Cairo,New Cairo,3,56-90,Mid-range,Serviced apartments in New Cairo
Sayed Effendi Boutique Hotel,Downtown,Al Fawalah,3,50-90,Mid-range,Boutique hotel in historic downtown
Gamaleya Boutique Hotel,Islamic Cairo,14 Amir Al Gyosh Al Goani,3,80-130,Mid-range,Boutique hotel in historic Islamic Cairo
Holy Sheet Plus Boutique Hotel,Downtown,Downtown Cairo,3,50-80,Mid-range,Boutique apartment-style accommodation
Aura Garden City Hotel,Garden City,Garden City,3,30-55,Budget,Budget-friendly in Garden City
Calma Haven,New Cairo,New Cairo,4,70-120,Mid-range,Peaceful retreat in New Cairo
Eileen Hotel Cairo,Downtown,13 Meret Basha Street,3,51-80,Mid-range,Decent mid-range downtown hotel
Bostan Hotel,Downtown,Bostan Ibn Al Quraish El Tahrir Square,2,15-25,Budget,Budget near Tahrir Square
Caesars Palace Hotel,Downtown,Downtown,3,30-55,Budget,With nightclub and bar
